idx,subsi,account,url,mkt_name,page_type,slide_YN,slide_path,toolbar_YN,toolbar_xpath,click_YN,click_xpath,desc
52,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/samsung-galaxy-note10-256gb-aura-black,n10_256gb_12,sp_1,,,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1],//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[1]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
53,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/samsung-galaxy-note10-256gb-aura-black,n10_256gb_24,sp_1,,,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1],//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[2]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
54,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/samsung-galaxy-note10-256gb-aura-black,n10_256gb_36,sp_1,,,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1],//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[3]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
55,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/samsung-galaxy-note10-plus-256gb-aura-glow,n10+_256gb_12,sp_1,,,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1],//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[3]/div/div/div[1]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
56,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/samsung-galaxy-note10-plus-256gb-aura-glow,n10+_256gb_24,sp_1,,,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1],//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[3]/div/div/div[2]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
57,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/samsung-galaxy-note10-plus-256gb-aura-glow,n10+_256gb_36,sp_1,,,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1],//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[3]/div/div/div[3]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
58,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-64gb-purple,lo11_64gb_12,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[1]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
59,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-64gb-purple,lo11_64gb_24,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[2]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
60,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-64gb-purple,lo11_64gb_36,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[3]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
61,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-128gb-purple,lo11_128gb_12,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[1]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
62,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-128gb-purple,lo11_128gb_24,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[2]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
63,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-128gb-purple,lo11_128gb_36,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[3]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
